beta0 beta1 loggap
-1 -2 0.7471240226
-1 -1.95 0.7381554073
-1 -1.9 0.729043424
-1 -1.85 0.7197866256
-1 -1.8 0.7103839974
-1 -1.75 0.7008350543
-1 -1.7 0.6911399552
-1 -1.65 0.6812996334
-1 -1.6 0.6713159472
-1 -1.55 0.6611918496
-1 -1.5 0.6509315796
-1 -1.45 0.6405408721
-1 -1.4 0.6300271871
-1 -1.35 0.6193999506
-1 -1.3 0.6086708006
-1 -1.25 0.5978538242
-1 -1.2 0.5869657654
-1 -1.15 0.5760261734
-1 -1.1 0.5650574523
-1 -1.05 0.5540847545
-1 -1 0.5431356468
-1 -0.95 0.5322394618
-1 -0.9 0.5214262299
-1 -0.85 0.5107250838
-1 -0.8 0.5001620338
-1 -0.75 0.4897570532
-1 -0.7 0.4795204867
-1 -0.65 0.4694489208
-1 -0.6 0.4595208285
-1 -0.55 0.4496924778
-1 -0.5 0.4398947308
-1 -0.45 0.4300313397
-1 -0.4 0.4199791154
-1 -0.35 0.4095899197
-1 -0.3 0.3986940122
-1 -0.25 0.3871041553
-1 -0.2 0.374620244
-1 -0.15 0.3610349032
-1 -0.1 0.3461409569
-1 -0.05 0.3297413815
-1 0 0.3116612015
-1 0.05 0.2917593703
-1 0.1 0.2699379797
-1 0.15 0.2461468089
-1 0.2 0.2203830038
-1 0.25 0.1926874839
-1 0.3 0.1631404443
-1 0.35 0.1318577392
-1 0.4 0.09898857694
-1 0.45 0.064713747
-1 0.5 0.0292432275
-1 0.55 -0.007187503396
-1 0.6 -0.0443223038
-1 0.65 -0.08188960848
-1 0.7 -0.1196072319
-1 0.75 -0.1571861996
-1 0.8 -0.1943335307
-1 0.85 -0.2307542849
-1 0.9 -0.2661534127
-1 0.95 -0.3002380068
-1 1 -0.3327204726
-1 1.05 -0.3633229677
-1 1.1 -0.3917832252
-1 1.15 -0.4178615962
-1 1.2 -0.4413488705
-1 1.25 -0.4620741777
-1 1.3 -0.4799121123
-1 1.35 -0.4947881896
-1 1.4 -0.5066818672
-1 1.45 -0.5156266437
-1 1.5 -0.5217071224
-1 1.55 -0.5250533276
-1 1.6 -0.525832895
-1 1.65 -0.5242419665
-1 1.7 -0.5204956726
-1 1.75 -0.5148189977
-1 1.8 -0.5074386383
-1 1.85 -0.4985762406
-1 1.9 -0.4884431785
-1 1.95 -0.4772368553
-1 2 -0.4651383834
-0.94375 -2 0.740131153
-0.94375 -1.95 0.7309795609
-0.94375 -1.9 0.7216757097
-0.94375 -1.85 0.7122175783
-0.94375 -1.8 0.7026035362
-0.94375 -1.75 0.6928324402
-0.94375 -1.7 0.6829037462
-0.94375 -1.65 0.6728176391
-0.94375 -1.6 0.6625751828
-0.94375 -1.55 0.6521784913
-0.94375 -1.5 0.641630921
-0.94375 -1.45 0.6309372863
-0.94375 -1.4 0.6201040936
-0.94375 -1.35 0.6091397929
-0.94375 -1.3 0.5980550365
-0.94375 -1.25 0.5868629336
-0.94375 -1.2 0.5755792812
-0.94375 -1.15 0.5642227418
-0.94375 -1.1 0.5528149278
-0.94375 -1.05 0.5413803372
-0.94375 -1 0.5299460688
-0.94375 -0.95 0.5185412253
-0.94375 -0.9 0.5071959015
-0.94375 -0.85 0.4959396398
-0.94375 -0.8 0.484799251
-0.94375 -0.75 0.4737959273
-0.94375 -0.7 0.4629416563
-0.94375 -0.65 0.4522350706
-0.94375 -0.6 0.4416570413
-0.94375 -0.55 0.4311665164
-0.94375 -0.5 0.4206972388
-0.94375 -0.45 0.4101559698
-0.94375 -0.4 0.3994225994
-0.94375 -0.35 0.3883520858
-0.94375 -0.3 0.3767777265
-0.94375 -0.25 0.364515134
-0.94375 -0.2 0.3513666708
-0.94375 -0.15 0.3371268265
-0.94375 -0.1 0.3215895239
-0.94375 -0.05 0.3045580409
-0.94375 0 0.2858570245
-0.94375 0.05 0.2653445574
-0.94375 0.1 0.2429214808
-0.94375 0.15 0.2185358736
-0.94375 0.2 0.1921824816
-0.94375 0.25 0.1638988303
-0.94375 0.3 0.1337605876
-0.94375 0.35 0.1018781189
-0.94375 0.4 0.06839469185
-0.94375 0.45 0.03348545821
-0.94375 0.5 -0.002644106775
-0.94375 0.55 -0.03976113006
-0.94375 0.6 -0.07760956558
-0.94375 0.65 -0.1159149853
-0.94375 0.7 -0.1543890669
-0.94375 0.75 -0.1927332134
-0.94375 0.8 -0.2306412189
-0.94375 0.85 -0.267801317
-0.94375 0.9 -0.3038982043
-0.94375 0.95 -0.3386157036
-0.94375 1 -0.3716406578
-0.94375 1.05 -0.4026684539
-0.94375 1.1 -0.4314102938
-0.94375 1.15 -0.4576019915
-0.94375 1.2 -0.4810137091
-0.94375 1.25 -0.5014597236
-0.94375 1.3 -0.5188071048
-0.94375 1.35 -0.5329821598
-0.94375 1.4 -0.5439736894
-0.94375 1.45 -0.5518325022
-0.94375 1.5 -0.5566671472
-0.94375 1.55 -0.5586363531
-0.94375 1.6 -0.5579390767
-0.94375 1.65 -0.5548032809
-0.94375 1.7 -0.5494745672
-0.94375 1.75 -0.5422056192
-0.94375 1.8 -0.5332471269
-0.94375 1.85 -0.5228405606
-0.94375 1.9 -0.5112128801
-0.94375 1.95 -0.4985730616
-0.94375 2 -0.4851101951
-0.8875 -2 0.7330747975
