alpha beta logL
-1.25 -1.25 1.19628499
-1.208333333 -1.25 1.198809702
-1.166666667 -1.25 1.201495194
-1.125 -1.25 1.20431303
-1.083333333 -1.25 1.207236563
-1.041666667 -1.25 1.210240923
-1 -1.25 1.213302973
-0.9583333333 -1.25 1.216401265
-0.9166666667 -1.25 1.219515973
-0.875 -1.25 1.222628829
-0.8333333333 -1.25 1.225723043
-0.7916666667 -1.25 1.228783226
-0.75 -1.25 1.23179531
-0.7083333333 -1.25 1.234746463
-0.6666666667 -1.25 1.237625014
-0.625 -1.25 1.240420373
-0.5833333333 -1.25 1.243122954
-0.5416666667 -1.25 1.245724106
-0.5 -1.25 1.248216041
-0.4583333333 -1.25 1.250591773
-0.4166666667 -1.25 1.252845055
-0.375 -1.25 1.254970322
-0.3333333333 -1.25 1.256962645
-0.2916666667 -1.25 1.258817674
-0.25 -1.25 1.260531602
-0.2083333333 -1.25 1.262101122
-0.1666666667 -1.25 1.263523392
-0.125 -1.25 1.264796002
-0.08333333333 -1.25 1.26591695
-0.04166666667 -1.25 1.266884612
0 -1.25 1.267697724
0.04166666667 -1.25 1.268355366
0.08333333333 -1.25 1.268856944
0.125 -1.25 1.269202181
0.1666666667 -1.25 1.26939111
0.2083333333 -1.25 1.269424066
0.25 -1.25 1.269301688
0.2916666667 -1.25 1.269024918
0.3333333333 -1.25 1.268595005
0.375 -1.25 1.268013512
0.4166666667 -1.25 1.267282328
0.4583333333 -1.25 1.266403678
0.5 -1.25 1.265380145
0.5416666667 -1.25 1.26421468
0.5833333333 -1.25 1.262910635
0.625 -1.25 1.26147178
0.6666666667 -1.25 1.259902335
0.7083333333 -1.25 1.258207006
0.75 -1.25 1.256391012
0.7916666667 -1.25 1.254460133
0.8333333333 -1.25 1.252420743
0.875 -1.25 1.250279864
0.9166666667 -1.25 1.248045207
0.9583333333 -1.25 1.245725229
1 -1.25 1.243329185
1.041666667 -1.25 1.240867185
1.083333333 -1.25 1.238350254
1.125 -1.25 1.235790393
1.166666667 -1.25 1.233200641
1.208333333 -1.25 1.230595136
1.25 -1.25 1.227989179
-1.25 -1.208333333 1.169496647
-1.208333333 -1.208333333 1.171875024
-1.166666667 -1.208333333 1.174428706
-1.125 -1.208333333 1.177128186
-1.083333333 -1.208333333 1.179945774
-1.041666667 -1.208333333 1.182855592
-1 -1.208333333 1.18583354
-0.9583333333 -1.208333333 1.188857253
-0.9166666667 -1.208333333 1.191906043
-0.875 -1.208333333 1.194960827
-0.8333333333 -1.208333333 1.198004059
-0.7916666667 -1.208333333 1.201019646
-0.75 -1.208333333 1.203992868
-0.7083333333 -1.208333333 1.206910294
-0.6666666667 -1.208333333 1.209759703
-0.625 -1.208333333 1.212530002
-0.5833333333 -1.208333333 1.215211148
-0.5416666667 -1.208333333 1.217794074
-0.5 -1.208333333 1.220270618
-0.4583333333 -1.208333333 1.222633456
-0.4166666667 -1.208333333 1.224876039
-0.375 -1.208333333 1.226992534
-0.3333333333 -1.208333333 1.22897777
-0.2916666667 -1.208333333 1.230827188
-0.25 -1.208333333 1.232536797
-0.2083333333 -1.208333333 1.234103129
-0.1666666667 -1.208333333 1.235523206
-0.125 -1.208333333 1.236794502
-0.08333333333 -1.208333333 1.23791492
-0.04166666667 -1.208333333 1.238882759
0 -1.208333333 1.239696696
0.04166666667 -1.208333333 1.24035577
0.08333333333 -1.208333333 1.240859361
0.125 -1.208333333 1.241207182
0.1666666667 -1.208333333 1.241399273
0.2083333333 -1.208333333 1.241435989
0.25 -1.208333333 1.241318005
0.2916666667 -1.208333333 1.241046313
0.3333333333 -1.208333333 1.240622228
0.375 -1.208333333 1.240047396
0.4166666667 -1.208333333 1.239323802
0.4583333333 -1.208333333 1.238453786
0.5 -1.208333333 1.237440061
0.5416666667 -1.208333333 1.236285729
0.5833333333 -1.208333333 1.234994308
0.625 -1.208333333 1.233569758
0.6666666667 -1.208333333 1.23201651
0.7083333333 -1.208333333 1.230339501
0.75 -1.208333333 1.228544207
0.7916666667 -1.208333333 1.22663669
0.8333333333 -1.208333333 1.224623635
0.875 -1.208333333 1.222512401
0.9166666667 -1.208333333 1.220311068
0.9583333333 -1.208333333 1.218028495
1 -1.208333333 1.215674371
1.041666667 -1.208333333 1.213259277
1.083333333 -1.208333333 1.210794743
1.125 -1.208333333 1.208293316
1.166666667 -1.208333333 1.205768617
1.208333333 -1.208333333 1.203235407
1.25 -1.208333333 1.200709648
-1.25 -1.166666667 1.141806662
-1.208333333 -1.166666667 1.144020039
-1.166666667 -1.166666667 1.146424797
-1.125 -1.166666667 1.148990279
-1.083333333 -1.166666667 1.151687669
-1.041666667 -1.166666667 1.154489995
-1 -1.166666667 1.157372106
-0.9583333333 -1.166666667 1.160310636
-0.9166666667 -1.166666667 1.163283947
-0.875 -1.166666667 1.166272064
-0.8333333333 -1.166666667 1.169256605
-0.7916666667 -1.166666667 1.172220698
-0.75 -1.166666667 1.175148902
-0.7083333333 -1.166666667 1.178027122
-0.6666666667 -1.166666667 1.180842524
-0.625 -1.166666667 1.183583456
-0.5833333333 -1.166666667 1.186239366
-0.5416666667 -1.166666667 1.188800722
-0.5 -1.166666667 1.191258945
-0.4583333333 -1.166666667 1.193606333
-0.4166666667 -1.166666667 1.195835998
-0.375 -1.166666667 1.197941806
-0.3333333333 -1.166666667 1.199918316
-0.2916666667 -1.166666667 1.201760734
-0.25 -1.166666667 1.203464861
-0.2083333333 -1.166666667 1.20502705
-0.1666666667 -1.166666667 1.206444168
-0.125 -1.166666667 1.20771356
-0.08333333333 -1.166666667 1.208833019
-0.04166666667 -1.166666667 1.209800758
0 -1.166666667 1.210615389
0.04166666667 -1.166666667 1.211275902
0.08333333333 -1.166666667 1.211781647
0.125 -1.166666667 1.212132328
0.1666666667 -1.166666667 1.212327988
0.2083333333 -1.166666667 1.212369007
0.25 -1.166666667 1.212256098
0.2916666667 -1.166666667 1.21199031
0.3333333333 -1.166666667 1.211573032
0.375 -1.166666667 1.211005999
0.4166666667 -1.166666667 1.210291306
0.4583333333 -1.166666667 1.20943142
0.5 -1.166666667 1.208429201
0.5416666667 -1.166666667 1.207287917
0.5833333333 -1.166666667 1.206011275
0.625 -1.166666667 1.204603445
0.6666666667 -1.166666667 1.203069091
0.7083333333 -1.166666667 1.20141341
0.75 -1.166666667 1.199642167
0.7916666667 -1.166666667 1.197761734
0.8333333333 -1.166666667 1.195779144
0.875 -1.166666667 1.193702131
0.9166666667 -1.166666667 1.191539185
0.9583333333 -1.166666667 1.189299611
1 -1.166666667 1.186993578
1.041666667 -1.166666667 1.184632189
1.083333333 -1.166666667 1.182227534
1.125 -1.166666667 1.179792759
1.166666667 -1.166666667 1.177342129
1.208333333 -1.166666667 1.174891088
1.25 -1.166666667 1.172456322
-1.25 -1.125 1.113164049
-1.208333333 -1.125 1.115191334
-1.166666667 -1.125 1.117427805
-1.125 -1.125 1.119841573
-1.083333333 -1.125 1.122402604
-1.041666667 -1.125 1.125082742
-1 -1.125 1.127855689
-0.9583333333 -1.125 1.130696984
-0.9166666667 -1.125 1.133583947
-0.875 -1.125 1.13649562
-0.8333333333 -1.125 1.139412698
-0.7916666667 -1.125 1.142317447
-0.75 -1.125 1.145193626
-0.7083333333 -1.125 1.148026401
-0.6666666667 -1.125 1.150802258
-0.625 -1.125 1.153508922
-0.5833333333 -1.125 1.156135268
-0.5416666667 -1.125 1.158671251
-0.5 -1.125 1.16110782
-0.4583333333 -1.125 1.163436851
-0.4166666667 -1.125 1.165651076
-0.375 -1.125 1.167744022
-0.3333333333 -1.125 1.169709947
-0.2916666667 -1.125 1.171543791
-0.25 -1.125 1.173241121
-0.2083333333 -1.125 1.174798087
-0.1666666667 -1.125 1.176211383
-0.125 -1.125 1.177478206
-0.08333333333 -1.125 1.178596227
-0.04166666667 -1.125 1.179563562
0 -1.125 1.180378747
0.04166666667 -1.125 1.181040716
0.08333333333 -1.125 1.181548788
0.125 -1.125 1.181902652
0.1666666667 -1.125 1.182102357
0.2083333333 -1.125 1.182148307
0.25 -1.125 1.18204126
0.2916666667 -1.125 1.181782327
0.3333333333 -1.125 1.181372979
0.375 -1.125 1.180815053
0.4166666667 -1.125 1.180110766
0.4583333333 -1.125 1.179262728
0.5 -1.125 1.178273959
0.5416666667 -1.125 1.177147918
0.5833333333 -1.125 1.17588852
0.625 -1.125 1.174500171
0.6666666667 -1.125 1.172987798
0.7083333333 -1.125 1.171356887
0.75 -1.125 1.169613521
0.7916666667 -1.125 1.167764426
0.8333333333 -1.125 1.165817018
0.875 -1.125 1.16377945
0.9166666667 -1.125 1.161660669
0.9583333333 -1.125 1.159470474
1 -1.125 1.15721957
1.041666667 -1.125 1.154919635
1.083333333 -1.125 1.15258338
1.125 -1.125 1.150224614
