alpha beta logL
-1.25 -1.25 1.953090424
-1.208333333 -1.25 1.953098323
-1.166666667 -1.25 1.953112324
-1.125 -1.25 1.953131411
-1.083333333 -1.25 1.953154668
-1.041666667 -1.25 1.953181263
-1 -1.25 1.953210453
-0.9583333333 -1.25 1.953241569
-0.9166666667 -1.25 1.953274017
-0.875 -1.25 1.953307268
-0.8333333333 -1.25 1.953340858
-0.7916666667 -1.25 1.953374375
-0.75 -1.25 1.953407464
-0.7083333333 -1.25 1.953439815
-0.6666666667 -1.25 1.95347116
-0.625 -1.25 1.953501275
-0.5833333333 -1.25 1.953529966
-0.5416666667 -1.25 1.953557074
-0.5 -1.25 1.953582467
-0.4583333333 -1.25 1.953606037
-0.4166666667 -1.25 1.953627701
-0.375 -1.25 1.953647392
-0.3333333333 -1.25 1.95366506
-0.2916666667 -1.25 1.953680671
-0.25 -1.25 1.953694202
-0.2083333333 -1.25 1.95370564
-0.1666666667 -1.25 1.953714979
-0.125 -1.25 1.953722222
-0.08333333333 -1.25 1.953727378
-0.04166666667 -1.25 1.953730457
0 -1.25 1.953731476
0.04166666667 -1.25 1.953730454
0.08333333333 -1.25 1.953727412
0.125 -1.25 1.953722373
0.1666666667 -1.25 1.953715364
0.2083333333 -1.25 1.953706412
0.25 -1.25 1.953695549
0.2916666667 -1.25 1.95368281
0.3333333333 -1.25 1.953668234
0.375 -1.25 1.953651865
0.4166666667 -1.25 1.953633756
0.4583333333 -1.25 1.953613965
0.5 -1.25 1.953592562
0.5416666667 -1.25 1.953569628
0.5833333333 -1.25 1.95354526
0.625 -1.25 1.953519567
0.6666666667 -1.25 1.953492682
0.7083333333 -1.25 1.953464756
0.75 -1.25 1.953435967
0.7916666667 -1.25 1.953406518
0.8333333333 -1.25 1.953376648
0.875 -1.25 1.953346625
0.9166666667 -1.25 1.953316762
0.9583333333 -1.25 1.95328741
1 -1.25 1.95325897
1.041666667 -1.25 1.953231893
1.083333333 -1.25 1.953206689
1.125 -1.25 1.953183925
1.166666667 -1.25 1.95316424
1.208333333 -1.25 1.953148339
1.25 -1.25 1.953137009
-1.25 -1.208333333 1.93365342
-1.208333333 -1.208333333 1.933658587
-1.166666667 -1.208333333 1.933670167
-1.125 -1.208333333 1.93368711
-1.083333333 -1.208333333 1.933708461
-1.041666667 -1.208333333 1.933733364
-1 -1.208333333 1.933761044
-0.9583333333 -1.208333333 1.933790813
-0.9166666667 -1.208333333 1.933822053
-0.875 -1.208333333 1.933854219
-0.8333333333 -1.208333333 1.93388683
-0.7916666667 -1.208333333 1.933919461
-0.75 -1.208333333 1.933951745
-0.7083333333 -1.208333333 1.933983363
-0.6666666667 -1.208333333 1.934014039
-0.625 -1.208333333 1.934043541
-0.5833333333 -1.208333333 1.934071671
-0.5416666667 -1.208333333 1.934098264
-0.5 -1.208333333 1.934123186
-0.4583333333 -1.208333333 1.934146328
-0.4166666667 -1.208333333 1.934167601
-0.375 -1.208333333 1.934186939
-0.3333333333 -1.208333333 1.934204292
-0.2916666667 -1.208333333 1.934219625
-0.25 -1.208333333 1.934232913
-0.2083333333 -1.208333333 1.934244145
-0.1666666667 -1.208333333 1.934253316
-0.125 -1.208333333 1.934260427
-0.08333333333 -1.208333333 1.934265488
-0.04166666667 -1.208333333 1.93426851
0 -1.208333333 1.934269511
0.04166666667 -1.208333333 1.934268508
0.08333333333 -1.208333333 1.934265524
0.125 -1.208333333 1.934260581
0.1666666667 -1.208333333 1.934253707
0.2083333333 -1.208333333 1.934244929
0.25 -1.208333333 1.934234279
0.2916666667 -1.208333333 1.934221792
0.3333333333 -1.208333333 1.934207507
0.375 -1.208333333 1.934191469
0.4166666667 -1.208333333 1.934173731
0.4583333333 -1.208333333 1.934154352
0.5 -1.208333333 1.934133404
0.5416666667 -1.208333333 1.93411097
0.5833333333 -1.208333333 1.934087147
0.625 -1.208333333 1.934062051
0.6666666667 -1.208333333 1.934035816
0.7083333333 -1.208333333 1.934008599
0.75 -1.208333333 1.933980584
0.7916666667 -1.208333333 1.933951983
0.8333333333 -1.208333333 1.933923042
0.875 -1.208333333 1.933894041
0.9166666667 -1.208333333 1.933865303
0.9583333333 -1.208333333 1.933837197
1 -1.208333333 1.933810138
1.041666667 -1.208333333 1.933784598
1.083333333 -1.208333333 1.933761106
1.125 -1.208333333 1.933740258
1.166666667 -1.208333333 1.933722716
1.208333333 -1.208333333 1.933709221
1.25 -1.208333333 1.933700592
-1.25 -1.166666667 1.912753867
-1.208333333 -1.166666667 1.91275612
-1.166666667 -1.166666667 1.912765137
-1.125 -1.166666667 1.912779823
-1.083333333 -1.166666667 1.912799186
-1.041666667 -1.166666667 1.912822336
-1 -1.166666667 1.912848468
-0.9583333333 -1.166666667 1.912876865
-0.9166666667 -1.166666667 1.912906888
-0.875 -1.166666667 1.91293797
-0.8333333333 -1.166666667 1.912969611
-0.7916666667 -1.166666667 1.913001373
-0.75 -1.166666667 1.913032874
-0.7083333333 -1.166666667 1.913063783
-0.6666666667 -1.166666667 1.913093818
-0.625 -1.166666667 1.913122736
-0.5833333333 -1.166666667 1.913150333
-0.5416666667 -1.166666667 1.913176442
-0.5 -1.166666667 1.913200921
-0.4583333333 -1.166666667 1.91322366
-0.4166666667 -1.166666667 1.913244567
-0.375 -1.166666667 1.913263576
-0.3333333333 -1.166666667 1.913280635
-0.2916666667 -1.166666667 1.913295707
-0.25 -1.166666667 1.913308769
-0.2083333333 -1.166666667 1.913319809
-0.1666666667 -1.166666667 1.913328821
-0.125 -1.166666667 1.91333581
-0.08333333333 -1.166666667 1.913340782
-0.04166666667 -1.166666667 1.913343751
0 -1.166666667 1.913344734
0.04166666667 -1.166666667 1.913343749
0.08333333333 -1.166666667 1.913340819
0.125 -1.166666667 1.913335968
0.1666666667 -1.166666667 1.913329221
0.2083333333 -1.166666667 1.913320607
0.25 -1.166666667 1.913310158
0.2916666667 -1.166666667 1.913297908
0.3333333333 -1.166666667 1.913283898
0.375 -1.166666667 1.913268173
0.4166666667 -1.166666667 1.913250787
0.4583333333 -1.166666667 1.913231799
0.5 -1.166666667 1.913211284
0.5416666667 -1.166666667 1.913189327
0.5833333333 -1.166666667 1.913166028
0.625 -1.166666667 1.913141506
0.6666666667 -1.166666667 1.9131159
0.7083333333 -1.166666667 1.913089373
0.75 -1.166666667 1.913062116
0.7916666667 -1.166666667 1.913034349
0.8333333333 -1.166666667 1.913006329
