k rnorm err
0 4.238664156 8.464765991
1 3.36556533 8.948445027
2 3.420338639 8.968107456
3 3.537166007 6.649228593
4 4.519184047 11.37218463
5 2.034899353 6.259284734
6 2.679683021 6.282687103
7 1.333266746 3.870929905
8 0.8355682025 2.491720385
9 0.6201519081 2.104658699
10 0.5142139989 1.817758806
11 0.4153920255 1.458793267
12 0.3014524664 1.05569866
13 0.1970128119 0.6678531631
14 0.1286597272 0.3875832921
15 0.09936446614 0.2718351783
16 0.08219086183 0.2334221848
17 0.06211024484 0.1847770556
18 0.04199231313 0.1264745752
19 0.02707838778 0.07955315486
20 0.01882040369 0.05406028266
21 0.01466460136 0.04288505522
22 0.01166229094 0.03450981684
23 0.008895816907 0.02575022063
24 0.00654306178 0.0180790711
25 0.004821468282 0.01296174866
26 0.003676472776 0.01019041402
27 0.002890202569 0.008422189036
28 0.002285082649 0.006766652235
29 0.001788902266 0.005115071223
30 0.001387111921 0.00366187392
31 0.001073651482 0.002578141919
32 0.000834387033 0.001893906032
33 0.0006509925863 0.001493854844
34 0.0005082778183 0.001220254142
35 0.0003966078353 0.0009821020029
36 0.0003100639198 0.0007598093323
37 0.0002439233778 0.0005637350178
38 0.0001935066035 0.0004063680119
39 0.0001544155312 0.0002920762386
40 0.0001232049966 0.0002157806733
41 9.766695899e-05 0.0001661280271
42 7.660000673e-05 0.0001314187318
43 5.937187017e-05 0.0001041589493
44 4.555453734e-05 8.128435818e-05
45 3.472598918e-05 6.212867227e-05
46 2.641319162e-05 4.670247835e-05
47 2.011705901e-05 3.487632399e-05
48 1.536624651e-05 2.617972253e-05
49 1.176303137e-05 1.990463712e-05
50 9.003216882e-06 1.531800943e-05
51 6.870147347e-06 1.183985249e-05
52 5.214274381e-06 9.102730421e-06
53 3.930732455e-06 6.909591225e-06
54 2.942024141e-06 5.159911912e-06
55 2.187327577e-06 3.792178403e-06
56 1.616965318e-06 2.753400249e-06
57 1.189908703e-06 1.988499688e-06
58 8.726354288e-07 1.440251828e-06
59 6.383512032e-07 1.053525506e-06
60 4.661550271e-07 7.803770858e-07
61 3.400799599e-07 5.837261349e-07
62 2.481002116e-07 4.381201681e-07
63 1.81221284e-07 3.277258302e-07
64 1.327285675e-07 2.431351449e-07
65 9.76138108e-08 1.785393153e-07
66 7.215742127e-08 1.298919092e-07
67 5.362559425e-08 9.396329717e-08
68 4.004147132e-08 6.796170458e-08
69 3.000152976e-08 4.944319849e-08
70 2.252350707e-08 3.633946519e-08
71 1.692281959e-08 2.700703904e-08
72 1.2717721e-08 2.024008097e-08
73 9.561609138e-09 1.522233542e-08
74 7.198038759e-09 1.143372527e-08
75 5.43253983e-09 8.548723299e-09
76 4.115573294e-09 6.355302898e-09
77 3.132107367e-09 4.702849446e-09
78 2.394690162e-09 3.474087698e-09
79 1.838101461e-09 2.572255308e-09
80 1.414695388e-09 1.916422686e-09
81 1.090198316e-09 1.4403745e-09
82 8.400904371e-10 1.092367209e-09
83 6.466954883e-10 8.342352053e-10
84 4.970373458e-10 6.393973946e-10
85 3.813566965e-10 4.901061673e-10
86 2.921448342e-10 3.746511893e-10
87 2.235285827e-10 2.851399953e-10
88 1.70879676e-10 2.159413104e-10
89 1.305502658e-10 1.627917632e-10
90 9.968356554e-11 1.222885706e-10
91 7.606126738e-11 9.166141261e-11
92 5.797641098e-11 6.864627866e-11
93 4.412560897e-11 5.141222219e-11
94 3.351695728e-11 3.852367729e-11
95 2.539657753e-11 2.887363484e-11
96 1.918939925e-11 2.162855235e-11
97 1.445605557e-11 1.617575901e-11
98 1.085732623e-11 1.206419107e-11
99 8.130657702e-12 8.964336301e-12
100 6.072606967e-12 6.63156419e-12
101 4.525079414e-12 4.882503919e-12
102 3.365696604e-12 3.578891637e-12
103 2.500108427e-12 2.613118944e-12
104 1.8553424e-12 1.903132997e-12
105 1.376240817e-12 1.383474152e-12
106 1.02042658e-12 1.005626052e-12
107 7.566185655e-13 7.317115349e-13
