t seq k0 k10 k20 k40
1 0.6611309774 0.7 0.6622289311 0.6611619919 0.6611310021
2 0.5032064868 0.7 0.507898875 0.5033147142 0.5032065344
3 0.7504472757 0.7 0.7445790351 0.7501755917 0.750446929
4 0.6914977038 0.7 0.6902790431 0.6915422826 0.691498097
5 0.3302233172 0.7 0.3398676693 0.3305811067 0.3302236651
6 0.4660127144 0.7 0.4659700671 0.4659182569 0.4660123067
7 1.044060393 0.7 1.025663892 1.043475497 1.044059855
8 1.328117814 0.7 1.318018598 1.328422691 1.328119181
9 0.7115374075 0.7 0.7424366502 0.7130505686 0.7115373046
10 -0.01106603497 0.7 0.03010793155 -0.01028239332 -0.01106814902
11 -0.3150789263 0.7 -0.2812388477 -0.3150701944 -0.315081078
12 -0.2555225326 0.7 -0.2411417598 -0.256423274 -0.2555240913
13 -1.363086827 0.7 -1.329885298 -1.363385861 -1.36308628
14 -1.185136087 0.7 -1.218008967 -1.187923802 -1.185136502
15 -1.573389134 0.7 -1.610154744 -1.573587137 -1.573382981
16 -1.556358292 0.7 -1.607309305 -1.554772831 -1.556363131
17 -1.455271906 0.7 -1.485988822 -1.452347401 -1.455279235
18 -1.287658142 0.7 -1.284375031 -1.285673242 -1.287661086
19 -0.8290013001 0.7 -0.8027817375 -0.8291011536 -0.8289964185
20 -0.1914491605 0.7 -0.1557381064 -0.1927152143 -0.191440982
21 -0.231107306 0.7 -0.1746048636 -0.2324049258 -0.2310982935
22 0.4666457134 0.7 0.5173327746 0.4644293092 0.4666536182
23 0.0798931567 0.7 0.1586069871 0.07796039045 0.07990077414
24 0.2424855625 0.7 0.3225777247 0.2399963754 0.2424910715
25 0.655311101 0.7 0.7277488587 0.6521964154 0.6553145582
26 0.6092224259 0.7 0.6881917336 0.6062034462 0.6092241053
27 0.161023501 0.7 0.2505721953 0.1583878208 0.1610229827
28 -0.3100510953 0.7 -0.216406358 -0.3124823492 -0.3100534083
29 -0.4956532317 0.7 -0.4130862182 -0.4982183408 -0.4956574682
30 -0.3224568318 0.7 -0.2658142498 -0.3251916723 -0.3224624339
31 -0.7767625186 0.7 -0.7221602295 -0.7785938663 -0.776767717
32 -0.7635296642 0.7 -0.7402215771 -0.7648527407 -0.7635356552
33 -0.728544319 0.7 -0.7319892191 -0.7287078185 -0.7285494496
34 -0.3575985251 0.7 -0.3918496252 -0.3566605325 -0.3576028155
35 -0.2073306693 0.7 -0.2524412007 -0.2052641152 -0.2073337526
36 -0.00792683665 0.7 -0.06272705515 -0.005039795975 -0.007929074588
37 -0.3272848868 0.7 -0.3750268629 -0.323340965 -0.3272859107
38 -0.3498254056 0.7 -0.4041942631 -0.3455331575 -0.3498258512
39 0.07827653926 0.7 0.004630577636 0.08238507057 0.07827697078
40 0.8004891873 0.7 0.7055587049 0.8043386175 0.8004910217
41 0.06299575245 0.7 -0.001611395324 0.06839498517 0.06300208019
42 0.7970924138 0.7 0.7070424098 0.8012892778 0.7970978679
43 1.336473924 0.7 1.236386099 1.340004362 1.336481043
44 1.444276241 0.7 1.36449502 1.447357074 1.444285809
45 1.255911457 0.7 1.196532086 1.256064738 1.255914878
46 0.8563255612 0.7 0.8048781355 0.8533459748 0.8563253962
47 1.437706815 0.7 1.358817481 1.432346478 1.437703187
48 2.082864944 0.7 2.007003395 2.077049531 2.082858204
49 2.281803277 0.7 2.291941649 2.27819679 2.281775257
50 2.081989678 0.7 2.164013235 2.073940703 2.081957257
51 1.574042312 0.7 1.676902568 1.569965128 1.574135787
52 0.6060110532 0.7 0.7244248568 0.6096614533 0.6060742701
53 0.5204249108 0.7 0.6187795528 0.5257854511 0.5204744645
54 0.772813903 0.7 0.8571807268 0.7801237936 0.7728544298
55 0.0267558892 0.7 0.1426396974 0.03792779299 0.02678747119
56 0.2171137498 0.7 0.3454130701 0.229562413 0.2171389853
57 0.4011581914 0.7 0.5433572427 0.4146209958 0.4011773192
58 0.6909103489 0.7 0.8457651069 0.7050521347 0.6909231447
59 0.01207321782 0.7 0.2098959641 0.02743714641 0.01207921071
60 -0.3135423854 0.7 -0.06944838167 -0.2974814493 -0.3135406931
61 -0.4882464801 0.7 -0.1892976318 -0.4719265844 -0.4882501297
62 -0.9971537156 0.7 -0.6364048387 -0.9812866433 -0.9971637876
63 0.02220878562 0.7 0.3945629402 0.03366962559 0.02218633606
64 -0.223402443 0.7 0.1523403686 -0.2135027708 -0.2234268573
65 -0.0348974169 0.7 0.3376373023 -0.02641829147 -0.03492425278
66 -0.1573818465 0.7 0.2024417897 -0.1502636613 -0.1574116492
67 0.6374312035 0.7 0.9586098508 0.6428826937 0.6373977798
68 1.195349592 0.7 1.402647347 1.197462824 1.195310344
69 1.280202368 0.7 1.318275713 1.281744599 1.280160075
70 -0.05362793426 0.7 -0.1386336749 -0.04752512145 -0.05367757762
71 -0.02169629128 0.7 -0.1279600808 -0.01395053819 -0.02174885589
72 0.3158442162 0.7 0.1736635474 0.324005354 0.3157902895
73 0.7682692499 0.7 0.5528336109 0.7751574834 0.7682163083
74 0.3515993977 0.7 0.03660754767 0.3566707163 0.351555878
75 1.199920757 0.7 0.8096050806 1.203614801 1.199888627
76 0.3261262732 0.7 -0.1834638747 0.32729876 0.3261253799
77 -0.03875504042 0.7 -0.569401024 -0.03841254033 -0.03874237259
78 0.4239774294 0.7 -0.1152422724 0.4237069791 0.424001071
79 0.3934736757 0.7 -0.2124887441 0.3889237463 0.3935063055
80 1.32430078 0.7 0.6274733228 1.315220586 1.324343573
