x U
-3 12.6
-2.984962406 12.39381129
-2.969924812 12.19026649
-2.954887218 11.98934131
-2.939849624 11.79101157
-2.92481203 11.59525321
-2.909774436 11.4020423
-2.894736842 11.21135504
-2.879699248 11.02316774
-2.864661654 10.83745683
-2.84962406 10.65419888
-2.834586466 10.47337058
-2.819548872 10.29494871
-2.804511278 10.11891022
-2.789473684 9.945232158
-2.77443609 9.773891689
-2.759398496 9.604866115
-2.744360902 9.438132854
-2.729323308 9.273669448
-2.714285714 9.111453561
-2.69924812 8.95146298
-2.684210526 8.793675616
-2.669172932 8.638069501
-2.654135338 8.484622791
-2.639097744 8.333313762
-2.62406015 8.184120818
-2.609022556 8.03702248
-2.593984962 7.891997395
-2.578947368 7.749024332
-2.563909774 7.608082183
-2.54887218 7.469149963
-2.533834586 7.332206808
-2.518796992 7.197231978
-2.503759398 7.064204856
-2.488721805 6.933104947
-2.473684211 6.803911879
-2.458646617 6.676605404
-2.443609023 6.551165393
-2.428571429 6.427571845
-2.413533835 6.305804877
-2.398496241 6.185844732
-2.383458647 6.067671773
-2.368421053 5.951266488
-2.353383459 5.836609487
-2.338345865 5.723681502
-2.323308271 5.612463388
-2.308270677 5.502936123
-2.293233083 5.395080809
-2.278195489 5.288878668
-2.263157895 5.184311047
-2.248120301 5.081359415
-2.233082707 4.980005363
-2.218045113 4.880230605
-2.203007519 4.782016979
-2.187969925 4.685346444
-2.172932331 4.590201084
-2.157894737 4.496563102
-2.142857143 4.404414827
-2.127819549 4.31373871
-2.112781955 4.224517324
-2.097744361 4.136733365
-2.082706767 4.050369653
-2.067669173 3.965409127
-2.052631579 3.881834854
-2.037593985 3.799630019
-2.022556391 3.718777933
-2.007518797 3.639262028
-1.992481203 3.56106586
-1.977443609 3.484173105
-1.962406015 3.408567565
-1.947368421 3.334233163
-1.932330827 3.261153945
-1.917293233 3.18931408
-1.902255639 3.118697859
-1.887218045 3.049289697
-1.872180451 2.98107413
-1.857142857 2.914035818
-1.842105263 2.848159545
-1.827067669 2.783430213
-1.812030075 2.719832853
-1.796992481 2.657352613
-1.781954887 2.595974768
-1.766917293 2.535684713
-1.751879699 2.476467968
-1.736842105 2.418310173
-1.721804511 2.361197092
-1.706766917 2.305114614
-1.691729323 2.250048746
-1.676691729 2.195985623
-1.661654135 2.142911497
-1.646616541 2.090812749
-1.631578947 2.039675877
-1.616541353 1.989487506
-1.601503759 1.940234381
-1.586466165 1.89190337
-1.571428571 1.844481466
-1.556390977 1.797955782
-1.541353383 1.752313556
-1.526315789 1.707542146
-1.511278195 1.663629035
-1.496240602 1.620561829
-1.481203008 1.578328254
-1.466165414 1.536916161
-1.45112782 1.496313524
-1.436090226 1.456508439
-1.421052632 1.417489123
-1.406015038 1.379243919
-1.390977444 1.34176129
-1.37593985 1.305029823
-1.360902256 1.269038228
-1.345864662 1.233775337
-1.330827068 1.199230105
-1.315789474 1.16539161
-1.30075188 1.132249052
-1.285714286 1.099791753
-1.270676692 1.068009161
-1.255639098 1.036890844
-1.240601504 1.006426492
-1.22556391 0.9766059203
-1.210526316 0.9474190652
-1.195488722 0.9188559863
-1.180451128 0.8909068656
-1.165413534 0.8635620082
-1.15037594 0.8368118417
-1.135338346 0.8106469163
-1.120300752 0.7850579053
-1.105263158 0.7600356044
-1.090225564 0.7355709321
-1.07518797 0.7116549297
-1.060150376 0.6882787611
-1.045112782 0.6654337131
-1.030075188 0.643111195
