t seq k0 k1 k2 k3 k4
1 0.6611309774 0.7 0.6611309774 0.6611309774 0.6611309774 0.6611309774
2 0.5032064868 0.7 0.5033559568 0.5032064868 0.5032064868 0.5032064868
3 0.7504472757 0.7 0.7541061883 0.7504472773 0.7504472757 0.7504472757
4 0.6914977038 0.7 0.6947220653 0.6914991566 0.6914977038 0.6914977038
5 0.3302233172 0.7 0.3328405015 0.330225533 0.3302233172 0.3302233172
6 0.4660127144 0.7 0.4794870912 0.4660149564 0.4660127144 0.4660127144
7 1.044060393 0.7 1.059870978 1.04407471 1.044060393 1.044060393
8 1.328117814 0.7 1.354802985 1.328166059 1.328117814 1.328117814
9 0.7115374075 0.7 0.7848012802 0.7117051238 0.711537408 0.7115374075
10 -0.01106603497 0.7 0.04825016552 -0.01034559635 -0.01106603171 -0.01106603497
11 -0.3150789263 0.7 -0.2333572666 -0.3144307534 -0.3150789242 -0.3150789263
12 -0.2555225326 0.7 -0.1357151934 -0.2552078385 -0.2555225499 -0.2555225326
13 -1.363086827 0.7 -1.215953113 -1.363173792 -1.363086845 -1.363086827
14 -1.185136087 0.7 -1.058498675 -1.189137553 -1.185136099 -1.185136087
15 -1.573389134 0.7 -1.434232385 -1.578806735 -1.573391882 -1.573389134
16 -1.556358292 0.7 -1.486733336 -1.563649733 -1.556366389 -1.556358292
17 -1.455271906 0.7 -1.437124791 -1.46042158 -1.455288132 -1.455271906
18 -1.287658142 0.7 -1.285293089 -1.290726743 -1.287673009 -1.287658142
19 -0.8290013001 0.7 -0.8057826822 -0.830972731 -0.8290125647 -0.8290013001
20 -0.1914491605 0.7 -0.1085795733 -0.1930628511 -0.191458418 -0.1914491606
21 -0.231107306 0.7 -0.1179295175 -0.2326593053 -0.2311154751 -0.2311073061
22 0.4666457134 0.7 0.6068987824 0.4649959516 0.4666385077 0.4666457133
23 0.0798931567 0.7 0.1982986445 0.08011554975 0.07988722253 0.07989315665
24 0.2424855625 0.7 0.365642917 0.2430006649 0.2424803464 0.2424855624
25 0.655311101 0.7 0.7715021913 0.6564634298 0.6553065646 0.655311101
26 0.6092224259 0.7 0.7034691656 0.6115622554 0.6092188408 0.6092224259
27 0.161023501 0.7 0.2381053244 0.1637754173 0.1610210207 0.161023501
28 -0.3100510953 0.7 -0.2258913972 -0.3074701381 -0.3100530908 -0.3100510953
29 -0.4956532317 0.7 -0.3741564756 -0.4936599599 -0.4956552563 -0.4956532317
30 -0.3224568318 0.7 -0.1620560783 -0.3216243475 -0.3224588253 -0.3224568318
31 -0.7767625186 0.7 -0.592856549 -0.7768315696 -0.7767642753 -0.7767625186
32 -0.7635296642 0.7 -0.54942849 -0.7667728711 -0.763531058 -0.7635296642
33 -0.728544319 0.7 -0.4898054027 -0.7353551455 -0.7285465872 -0.728544319
34 -0.3575985251 0.7 -0.09858094271 -0.3680299658 -0.3576052414 -0.3575985251
35 -0.2073306693 0.7 0.05829370548 -0.2182822481 -0.207342161 -0.2073306694
36 -0.00792683665 0.7 0.2542096181 -0.01786618742 -0.007940577335 -0.007926836662
